Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax
Patriots,2014,12,4,0,Good,15446036,4537291,13923556,7369559,15395126,56671568,16148688,12844605,8563385,15032481,52589159,4940500,18798773,114201227,133000000
Raiders,2014,3,13,0,Bad,9471691,6996329,9015614,1400205,17354097,44237936,22786638,5264934,13433828,11631671,53117071,4707834,30937159,102062841,133000000
Rams,2014,6,10,0,Bad,19930000,3635133,7202903,8642056,26104635,65514727,33755716,13534676,4207611,3599498,55097501,2087640,10300132,122699868,133000000
Ravens,2014,10,6,0,Good,15578427,1891185,6901832,4991340,17897641,47260425,21184683,19631410,5389608,11857910,58063611,4507705,23168259,109831741,133000000
Redskins,2014,4,12,0,Bad,7082926,2678257,18448822,3831981,26783400,58825386,22331951,20125647,3143824,7461353,53062775,1902500,19209339,113790661,133000000
Saints,2014,7,9,0,Mediocre,19064118,5399617,12178739,6269241,25334966,68246681,9747350,14691920,9083250,8305918,41828438,4665000,18259881,114740119,133000000
Seahawks,2014,12,4,0,Good,2227438,9949013,6213265,7238609,23505262,49133587,26292132,11003673,14824595,6488073,58608473,3987500,21270440,111729560,133000000
Steelers,2014,11,5,0,Good,21333138,1669039,7942649,7847766,14731514,53524106,9360367,28650595,10751868,13352245,62115075,2817500,14543319,118456681,133000000
Texans,2014,9,7,0,Mediocre,4907663,9457433,19869037,4412445,23390496,62037074,8559949,16201819,2839451,17795552,45396771,3491610,22074545,110925455,133000000
Titans,2014,2,14,0,Bad,6035575,6946110,9394069,8033603,26321377,56730734,22530646,7346559,14007775,10683260,54568240,2631042,19069984,113930016,133000000
Vikings,2014,7,9,0,Mediocre,10278077,13954903,10289462,3870027,24118962,62511431,25558005,13626014,3934664,7924243,51042926,2410531,17035112,115964888,133000000
49ers,2015,5,11,0,Bad,17234471,4458248,13840026,2762661,19757909,58053315,8381362,20469116,8880119,6467970,44198567,5427550,35600568,107679432,143280000
