Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax,PercentUsed
Bears,2015.0,6.0,10.0,0.0,Bad,16725388.0,11448751.0,12807674.0,7560294.0,17921204.0,66463311.0,5097132.0,22051239.0,8796854.0,6925380.0,42870605.0,4289856.0,29656228.0,113623772.0,143280000.0,0.7930190675600224
Bengals,2015.0,12.0,4.0,0.0,Good,10238778.0,4040770.0,18726078.0,3962305.0,26041777.0,63009708.0,25914276.0,20598622.0,8119150.0,16808890.0,71440938.0,5620000.0,3209354.0,140070646.0,143280000.0,0.9776008235622557
Bills,2015.0,8.0,8.0,0.0,Mediocre,3732738.0,7707163.0,12781663.0,5735146.0,15086305.0,45043015.0,43755012.0,7776423.0,5657363.0,16809630.0,73998428.0,4250000.0,19988557.0,123291443.0,143280000.0,0.8604930415968732
Broncos,2015.0,12.0,4.0,0.0,Good,19067139.0,2115642.0,23083075.0,7984142.0,25231140.0,77481138.0,18447328.0,15660017.0,11305871.0,13543730.0,58956946.0,3705000.0,3136916.0,140143084.0,143280000.0,0.9781063930764936
Browns,2015.0,3.0,13.0,0.0,Bad,8093954.0,1964338.0,14792090.0,5193030.0,27241456.0,57284868.0,16743626.0,21907486.0,11656943.0,23514408.0,73822463.0,2920000.0,9252669.0,134027331.0,143280000.0,0.9354224664991625
Buccaneers,2015.0,6.0,10.0,0.0,Bad,5965886.0,5081515.0,18129732.0,4336557.0,20141348.0,53655038.0,29415438.0,12188387.0,4087338.0,8260432.0,53951595.0,1514706.0,34158661.0,109121339.0,143280000.0,0.7615950516471245
Cardinals,2015.0,13.0,3.0,0.0,Good,11834168.0,2946734.0,16186291.0,5182957.0,29469242.0,65619392.0,24656866.0,15119938.0,4181310.0,22409565.0,66367679.0,1760500.0,9532429.0,133747571.0,143280000.0,0.9334699260189838
Chargers,2015.0,4.0,12.0,0.0,Bad,22989168.0,7201545.0,8556430.0,10790590.0,18814927.0,68352660.0,13769105.0,14749306.0,12240418.0,9571186.0,50330015.0,5666666.0,18930659.0,124349341.0,143280000.0,0.8678764726409827
Chiefs,2015.0,11.0,5.0,0.0,Good,21476940.0,9656539.0,6172669.0,2273413.0,16221401.0,55800962.0,11606841.0,21741283.0,14112700.0,11077574.0,58538398.0,4745666.0,24194974.0,119085026.0,143280000.0,0.8311350223338917
Colts,2015.0,8.0,8.0,0.0,Mediocre,10638775.0,5617471.0,13153178.0,4034629.0,14365795.0,47809848.0,14935562.0,35495549.0,5801282.0,21055447.0,77287840.0,7250000.0,10932312.0,132347688.0,143280000.0,0.9236996649916248
